latitude,longitude,bg_weight
39.65,29.4,0.0023152000375725734
40.21,28.81,0.002495220280551491
39.73,29.44,0.003447526698484138
40.52,29.16,0.04537042312954398
40.12,28.05,0.8628750840260117
40.06,25.91,0.9804564543683973
40.8,27.86,0.016804372355158304
39.61,27.45,0.9246434000489071
40.39,25.77,0.9578635435908598
40.23,29.65,0.957781860882883
40.15,25.69,0.5934917716294946
40.09,26.14,0.6937088629619663
40.32,27.86,0.7100784967653375
40.54,28.12,0.536780618328581
40.17,28.75,0.006780781002104774
40.07,27.6,0.8474977771501748
40.62,29.04,0.011859215524980038
40.74,27.42,0.2900111167126729
40.22,28.77,0.0032911764826553114
40.73,30.68,0.008227292290765464
40.93,29.13,0.47719397183806844
40.37,28.6,0.4956645097270299
40.62,27.32,0.09447457880912069
40.68,27.49,0.012726545025944613
40.03,26.82,0.7950912645705892
40.58,27.19,0.05525292093566203
40.28,27.86,0.06375055042891908
40.82,28.11,0.03533765716362858
40.08,27.23,0.8010062209403492
40.31,25.75,0.4022670828304097
39.62,27.86,0.47419795628383143
40.21,27.94,0.2859558227025023
40.21,27.91,2.9039444242595636e-06
40.18,27.92,1.620613682828953e-05
40.32,25.67,0.01369110871696333
41.12,29.47,0.8625164999252417
39.66,29.44,0.002074772225339583
40.2,27.92,8.3479798914321e-05
40.2,27.95,1.1341099821704503e-05
40.23,27.94,3.542178013216102e-05
40.17,28.9,0.21102815057101476
40.31,25.8,0.0057854273770528986
40.19,28.78,0.006897004184036604
39.84,30.4,0.6192340125854052
40.33,27.48,0.4798114516469535
40.01,28.98,0.12352929905337828
40.19,27.95,0.0005361951032794021
40.66,29.03,0.023766472653359294
40.77,30.31,0.1483833724047109
40.0,29.08,0.011648163825411006
40.46,29.2,0.044180235467560114
40.2,28.78,0.0027983630455866715
39.74,29.41,0.02566587617681848
40.31,29.13,0.07856229566408612
40.67,27.5,0.00620048435059839
40.52,29.29,0.056725788461556514
41.09,29.31,0.02785149282641808
40.13,30.15,0.988503562698607
40.56,28.92,0.26094958803002866
40.29,27.52,0.1108011003017042
40.37,27.33,0.06712665443178834
40.18,28.79,0.004172613266981151
40.56,28.93,0.00122130337367099
40.38,27.83,0.22995463135022942
39.7,26.2,0.9129258426262891
41.76,27.44,0.9998718151661762
40.09,29.34,0.011687279876337331
40.72,26.51,0.9974851293165684
39.64,29.48,0.008537343435401468
41.24,28.49,0.9964250606972224
40.49,30.17,0.6134813990764458
40.2,28.97,0.19391206898794755
39.67,25.63,0.7492921106599939
40.32,29.43,0.48109280848114755
40.4,26.19,0.7268607857302192
40.41,26.08,0.0014956895894111533
40.09,29.37,0.006140227690532907
40.67,27.41,0.11466535448660353
40.71,27.43,0.0017511910214855764
40.39,26.19,0.00020588046336911248
40.1,26.63,0.017540801005529683
40.44,26.09,0.00014833977270134469
40.23,26.86,0.02616580856982842
40.59,26.31,0.006088155685307406
40.45,25.95,0.002941888739087073
40.45,26.08,2.0558287728400515e-05
40.42,26.21,2.7562536859870868e-05
40.44,26.04,6.365215381287648e-05
40.51,26.06,0.00026255089380611274
40.39,26.65,0.026474671906775882
40.42,26.02,3.4589400096374234e-05
40.38,25.99,0.00011276683552363664
40.43,26.01,1.9174175847957997e-05
40.39,26.04,0.00011355709864036001
40.44,25.93,0.00011971315257242043
40.11,26.29,0.03900321072360169
40.37,26.03,6.829125841356642e-05
40.72,27.42,0.0002899920637466913
40.61,27.32,0.002455907212658759
40.42,25.97,7.806561637058174e-05
40.38,26.04,1.9304521696850152e-05
40.04,26.36,0.03711089148141311
40.14,26.42,0.001618156862397191
40.38,26.01,8.527128292712405e-05
40.33,26.19,0.0013336321984517285
40.53,25.72,0.061790754460995245
40.39,26.15,0.00021103238282504932
40.4,25.86,0.004505067487084902
40.38,26.24,0.0004627781466386427
40.41,25.86,2.0485114645252267e-05
40.61,26.0,0.009961570395460528
40.73,27.42,0.00038199819821438386
40.72,27.42,2.1477736330210995e-05
40.68,27.4,0.00011001189673576217
40.39,25.85,8.107625047470979e-05
40.71,27.5,0.002255776237637841
40.46,26.1,0.0004484907007122896
40.56,26.16,0.009711646863873824
40.39,26.11,0.0009330241503123782
40.46,26.1,0.0001890669110051757
40.45,25.9,0.0008646728493596489
40.43,26.1,0.00010670004067048211
40.38,25.99,0.0002179256818302111
40.61,27.42,0.017170566540099075
40.33,26.0,0.002248869592531122
40.2,29.29,0.2268298001650647
40.19,28.83,0.010716241123040593
40.38,25.92,0.002310603290331059
40.4,25.89,2.0454772478806227e-05
40.4,25.95,3.845209482244982e-05
